# Black: raveb=0.0001, simu=0.5s
# BlackCommand: EazyNoGo/eazynogo-rave2
# BlackLabel: raveb=0.0001, simu=0.5s
# BlackVersion: 2.1
# Date: October 6, 2019 at 7:09:23 PM CST
# Host: linyantongs-MacBook-Pro.local
# Komi: 6.5
# Referee: -
# Size: 9
# White: haha25_rn20_bn0
# WhiteCommand: HaHaNoGo/hahanogo
# WhiteLabel: haha25_rn20_bn0
# WhiteVersion: 
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	W+R	W+R	W+R	0	-	72	20.4	12.7	0	0	0	
1	W+R	W+R	W+R	0	-	70	20.1	12.5	0	0	0	
2	W+R	W+R	W+R	0	-	76	21.8	13.4	0	0	0	
3	W+R	W+R	W+R	0	-	68	19.7	12.6	0	0	0	
4	W+R	W+R	W+R	0	-	72	20.8	12.5	0	0	0	
5	W+R	W+R	W+R	0	-	74	21.2	12.8	0	0	0	
6	W+R	W+R	W+R	0	-	74	21.3	13.1	0	0	0	
7	W+R	W+R	W+R	0	-	72	20.5	13.4	0	0	0	
8	W+R	W+R	W+R	0	-	72	20.6	13.1	0	0	0	
9	W+R	W+R	W+R	0	-	74	20.9	13.1	0	0	0	
